Count,Date,Hour,Temperature,Humidity,Wind,Visibility,Dew,Solar,Rainfall,Snowfall,Seasons,Holiday,Functioning,ID
498,4/12/2017,7,0.2,68,3.4,702,-5,0,0,0,Winter,No Holiday,Yes,916451
937,4/12/2017,8,-0.8,69,3.5,954,-5.7,0.01,0,0,Winter,No Holiday,Yes,435083
509,4/12/2017,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,Winter,No Holiday,Yes,302617
311,4/12/2017,10,-1.1,40,4.5,2000,-13,0.64,0,0,Winter,No Holiday,Yes,181418
379,4/12/2017,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,Winter,No Holiday,Yes,672033
393,4/12/2017,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,Winter,No Holiday,Yes,518357
391,4/12/2017,13,0,30,5.4,1938,-15.5,1.17,0,0,Winter,No Holiday,Yes,724090
338,4/12/2017,14,0.1,27,4.5,2000,-16.7,1.09,0,0,Winter,No Holiday,Yes,578184
341,4/12/2017,15,-0.1,25,5.8,2000,-17.8,0.88,0,0,Winter,No Holiday,Yes,821697
375,4/12/2017,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,Winter,No Holiday,Yes,444693
515,4/12/2017,17,-1.3,26,5.3,2000,-18.3,0.18,0,0,Winter,No Holiday,Yes,894119
807,4/12/2017,18,-2.1,29,3.9,2000,-17.7,0,0,0,Winter,No Holiday,Yes,842513
568,4/12/2017,19,-2.9,32,3.2,2000,-17.3,0,0,0,Winter,No Holiday,Yes,547469
398,4/12/2017,20,-3.6,38,3,2000,-15.8,0,0,0,Winter,No Holiday,Yes,942956
397,4/12/2017,21,-4.6,43,4.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes,983937
353,4/12/2017,22,-5.3,45,2.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes,495258
248,4/12/2017,23,-5.8,44,2.4,2000,-16.1,0,0,0,Winter,No Holiday,Yes,620090
216,5/12/2017,0,-6.1,42,2.6,2000,-16.9,0,0,0,Winter,No Holiday,Yes,262921
198,5/12/2017,1,-6.5,41,2.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes,671189
124,5/12/2017,2,-6.8,41,2.5,2000,-17.8,0,0,0,Winter,No Holiday,Yes,695079
62,5/12/2017,3,-6.9,39,2,2000,-18.5,0,0,0,Winter,No Holiday,Yes,816927
42,5/12/2017,4,-7.2,34,3,2000,-20.4,0,0,0,Winter,No Holiday,Yes,222914
82,5/12/2017,5,-7.4,33,2.6,2000,-20.9,0,0,0,Winter,No Holiday,Yes,818996
172,5/12/2017,6,-7.4,34,3.2,2000,-20.6,0,0,0,Winter,No Holiday,Yes,890218
381,5/12/2017,7,-7.5,33,2.2,2000,-21,0,0,0,Winter,No Holiday,Yes,869140
812,5/12/2017,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,Winter,No Holiday,Yes,231037
462,5/12/2017,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,Winter,No Holiday,Yes,851038
269,5/12/2017,10,-5.5,26,2.8,1967,-22,0.64,0,0,Winter,No Holiday,Yes,485678
334,5/12/2017,11,-3.9,25,0,1959,-21,0,0,0,Winter,No Holiday,Yes,284171
321,5/12/2017,12,-2.3,25,0,1962,-19.7,0,0,0,Winter,No Holiday,Yes,858214
325,5/12/2017,13,-1.6,27,0,1955,-18.2,0,0,0,Winter,No Holiday,Yes,899028
334,5/12/2017,14,-1.1,28,0,2000,-17.3,0,0,0,Winter,No Holiday,Yes,410330
353,5/12/2017,15,-0.7,28,0,2000,-16.9,0,0,0,Winter,No Holiday,Yes,429367
435,5/12/2017,16,-0.5,30,0,2000,-16,0,0,0,Winter,No Holiday,Yes,760329
529,5/12/2017,17,-1.6,35,0,2000,-15.1,0,0,0,Winter,No Holiday,Yes,332074
789,5/12/2017,18,-2.6,40,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes,919966
597,5/12/2017,19,-3.2,45,0,2000,-13.5,0,0,0,Winter,No Holiday,Yes,842207
418,5/12/2017,20,-3.5,46,0,2000,-13.4,0,0,0,Winter,No Holiday,Yes,757687
415,5/12/2017,21,-3.7,47,0,2000,-13.3,0,0,0,Winter,No Holiday,Yes,572752
393,5/12/2017,22,-2.8,49,0,2000,-12,0,0,0,Winter,No Holiday,Yes,571722
244,5/12/2017,23,-2.5,59,0,1210,-9.4,0,0,0,Winter,No Holiday,Yes,873968
145,6/12/2017,0,-2.8,77,0,331,-6.2,0,0.1,0.1,Winter,No Holiday,Yes,898358
144,6/12/2017,1,-3,79,0,293,-6.1,0,0,0.3,Winter,No Holiday,Yes,873316
117,6/12/2017,2,-3,79,0,1862,-6.1,0,0,0.4,Winter,No Holiday,Yes,262115
78,6/12/2017,3,-3.2,78,0,1808,-6.4,0,0.2,0.4,Winter,No Holiday,Yes,665080
58,6/12/2017,4,-3.4,75,0,1982,-7.2,0,0,0.4,Winter,No Holiday,Yes,963603
87,6/12/2017,5,-3.6,76,0,1934,-7.2,0,0,0.4,Winter,No Holiday,Yes,569811
142,6/12/2017,6,-3.7,76,0,1864,-7.3,0,0,0.4,Winter,No Holiday,Yes,735190
379,6/12/2017,7,-4.2,77,0,1741,-7.6,0,0,0.3,Winter,No Holiday,Yes,320406
802,6/12/2017,8,-4.2,78,0,1518,-7.4,0.01,0,0.2,Winter,No Holiday,Yes,960906
440,6/12/2017,9,-3.3,70,0,1324,-7.9,0.25,0,0.2,Winter,No Holiday,Yes,697360
307,6/12/2017,10,-0.9,64,0,1224,-6.8,0.63,0,0.2,Winter,No Holiday,Yes,143936
381,6/12/2017,11,1.6,57,1.2,1261,-6,0.93,0,0,Winter,No Holiday,Yes,472921
405,6/12/2017,12,2.4,52,0.9,1224,-6.4,1.08,0,0,Winter,No Holiday,Yes,688431
442,6/12/2017,13,4.2,47,1.1,1469,-6.1,1.1,0,0,Winter,No Holiday,Yes,166815
416,6/12/2017,14,5.5,34,1,1966,-9.1,0.96,0,0,Winter,No Holiday,Yes,572744
412,6/12/2017,15,5.5,31,3.1,1968,-10.3,0.72,0,0,Winter,No Holiday,Yes,556272
496,6/12/2017,16,5.3,37,2.9,2000,-8.2,0.36,0,0,Winter,No Holiday,Yes,659347
239,6/12/2017,17,4.1,60,2.5,1565,-2.9,0.1,0,0,Winter,No Holiday,Yes,311684
204,6/12/2017,18,1.7,90,1,66,0.2,0,0.3,0.3,Winter,No Holiday,Yes,444146
205,6/12/2017,19,1.2,92,0.7,180,0,0,0,1,Winter,No Holiday,Yes,121229
190,6/12/2017,20,1.2,94,0.6,228,0.3,0,0,1,Winter,No Holiday,Yes,264937
165,6/12/2017,21,1.1,92,0.5,235,0,0,0.7,1,Winter,No Holiday,Yes,367913
222,6/12/2017,22,1.3,92,0.6,233,0.1,0,0,1,Winter,No Holiday,Yes,171591
193,6/12/2017,23,1.3,92,0.6,209,0.1,0,0,1,Winter,No Holiday,Yes,462197
198,7/12/2017,0,1.4,92,0.5,240,0.2,0,0,0.9,Winter,No Holiday,Yes,876343
218,7/12/2017,1,1.5,92,0.4,227,0.3,0,0,0.9,Winter,No Holiday,Yes,654041
149,7/12/2017,2,1.4,92,0.7,168,0.2,0,0,0.9,Winter,No Holiday,Yes,239128
102,7/12/2017,3,1.9,91,1.4,218,0.5,0,0,0.9,Winter,No Holiday,Yes,537455
62,7/12/2017,4,1.6,92,0.7,119,0.4,0,0,0.9,Winter,No Holiday,Yes,369273
83,7/12/2017,5,1.5,92,1.1,175,0.3,0,0,0.9,Winter,No Holiday,Yes,953743
137,7/12/2017,6,1,93,0.5,148,0,0,0,0.9,Winter,No Holiday,Yes,388475
367,7/12/2017,7,0.3,93,0.5,173,-0.7,0,0,0.9,Winter,No Holiday,Yes,997519
754,7/12/2017,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8,Winter,No Holiday,Yes,393634
415,7/12/2017,9,0.1,91,0.8,265,-1.1,0.14,0,0.8,Winter,No Holiday,Yes,712317
321,7/12/2017,10,1.1,83,0.7,311,-1.4,0.41,0,0.7,Winter,No Holiday,Yes,853526
333,7/12/2017,11,2.3,69,1.7,628,-2.8,0.63,0,0.6,Winter,No Holiday,Yes,520740
431,7/12/2017,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,Winter,No Holiday,Yes,642129
394,7/12/2017,13,4.1,37,3.1,1767,-9.3,1.14,0,0,Winter,No Holiday,Yes,418590
390,7/12/2017,14,4.4,36,2.7,1975,-9.4,1.04,0,0,Winter,No Holiday,Yes,454128
430,7/12/2017,15,4,35,3.1,1962,-10.1,0.84,0,0,Winter,No Holiday,Yes,195036
471,7/12/2017,16,3.2,38,2.9,1817,-9.7,0.51,0,0,Winter,No Holiday,Yes,417592
552,7/12/2017,17,2.1,50,2,1434,-7.2,0.15,0,0,Winter,No Holiday,Yes,674155
795,7/12/2017,18,0.7,46,2.7,1558,-9.6,0,0,0,Winter,No Holiday,Yes,400099
507,7/12/2017,19,-0.4,47,2.5,1269,-10.3,0,0,0,Winter,No Holiday,Yes,453128
390,7/12/2017,20,-1.4,47,2.5,1620,-11.2,0,0,0,Winter,No Holiday,Yes,349128
402,7/12/2017,21,-2.2,46,2.2,1975,-12.2,0,0,0,Winter,No Holiday,Yes,381301
389,7/12/2017,22,-2.7,48,2.6,1844,-12.2,0,0,0,Winter,No Holiday,Yes,547125
259,7/12/2017,23,-3.2,50,2.1,1887,-12.1,0,0,0,Winter,No Holiday,Yes,501096
267,9/12/2017,0,-3.5,48,0.9,1967,-12.9,0,0,0,Winter,No Holiday,Yes,266617
296,9/12/2017,1,-4.1,49,0.6,2000,-13.2,0,0,0,Winter,No Holiday,Yes,194812
237,9/12/2017,2,-4.7,50,0.7,1983,-13.5,0,0,0,Winter,No Holiday,Yes,423213
169,9/12/2017,3,-4.3,47,0.6,1992,-13.9,0,0,0,Winter,No Holiday,Yes,937107
96,9/12/2017,4,-4.3,49,0.7,2000,-13.4,0,0,0,Winter,No Holiday,Yes,329237
56,9/12/2017,5,-4.7,49,0.8,1999,-13.8,0,0,0,Winter,No Holiday,Yes,360547
76,9/12/2017,6,-5.1,53,0.9,1975,-13.2,0,0,0,Winter,No Holiday,Yes,998010
127,9/12/2017,7,-5.5,56,0.8,1950,-12.9,0,0,0,Winter,No Holiday,Yes,582380
222,9/12/2017,8,-5.4,56,0.7,1940,-12.8,0.01,0,0,Winter,No Holiday,Yes,226548
291,9/12/2017,9,-4.7,48,1,1784,-14,0.23,0,0,Winter,No Holiday,Yes,227155
273,9/12/2017,10,-2.2,42,1.3,1646,-13.4,0.61,0,0,Winter,No Holiday,Yes,810530
351,9/12/2017,11,0,45,1.1,1500,-10.5,0.89,0,0,Winter,No Holiday,Yes,724778
427,9/12/2017,12,2.4,40,0.8,1809,-9.8,1.05,0,0,Winter,No Holiday,Yes,371249
431,9/12/2017,13,3.9,36,2,1702,-9.8,1.13,0,0,Winter,No Holiday,Yes,612216
486,9/12/2017,14,4.7,32,2.2,1948,-10.6,1.06,0,0,Winter,No Holiday,Yes,342732
569,9/12/2017,15,5.2,30,2,1963,-11,0.84,0,0,Winter,No Holiday,Yes,404504
546,9/12/2017,16,4.4,33,1.6,1963,-10.5,0.4,0,0,Winter,No Holiday,Yes,121554
481,9/12/2017,17,3.5,37,1.8,1963,-9.8,0.1,0,0,Winter,No Holiday,Yes,760221
384,9/12/2017,18,2.5,41,1,1974,-9.4,0,0,0,Winter,No Holiday,Yes,893795
275,9/12/2017,19,1.5,48,0.4,1878,-8.3,0,0,0,Winter,No Holiday,Yes,687068
298,9/12/2017,20,0.8,51,1.4,1848,-8.2,0,0,0,Winter,No Holiday,Yes,175511
321,9/12/2017,21,-0.1,55,0.7,1654,-8,0,0,0,Winter,No Holiday,Yes,567172
289,9/12/2017,22,-0.5,55,0.6,1655,-8.4,0,0,0,Winter,No Holiday,Yes,859424
265,9/12/2017,23,-0.1,54,1.3,1570,-8.3,0,0,0,Winter,No Holiday,Yes,152978
326,10/12/2017,0,-0.2,55,1,1629,-8.1,0,0,0,Winter,No Holiday,Yes,264363
280,10/12/2017,1,-0.2,54,0.5,1747,-8.4,0,0,0,Winter,No Holiday,Yes,955006
243,10/12/2017,2,0.2,52,0.7,1726,-8.5,0,0,0,Winter,No Holiday,Yes,856618
169,10/12/2017,3,0.3,53,0.5,1748,-8.1,0,0,0,Winter,No Holiday,Yes,703562
71,10/12/2017,4,0.4,52,1.6,1816,-8.3,0,0,0,Winter,No Holiday,Yes,174109
13,10/12/2017,5,0.3,74,1,178,-3.7,0,0,0.7,Winter,No Holiday,Yes,752609
9,10/12/2017,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7,Winter,No Holiday,Yes,549621
20,10/12/2017,7,-0.4,92,1.1,121,-1.5,0,0,4,Winter,No Holiday,Yes,816251
35,10/12/2017,8,-0.2,90,1.2,378,-1.6,0,0,4.1,Winter,No Holiday,Yes,788841
31,10/12/2017,9,0.2,90,1,305,-1.2,0,1.6,4.3,Winter,No Holiday,Yes,315026
19,10/12/2017,10,0.5,91,0.4,143,-0.8,0,0,4.3,Winter,No Holiday,Yes,670724
58,10/12/2017,11,0.9,92,0.9,137,-0.2,0.03,0,3.9,Winter,No Holiday,Yes,522928
119,10/12/2017,12,2.3,88,0.3,245,0.5,0.28,0,3.1,Winter,No Holiday,Yes,926417
182,10/12/2017,13,3.3,87,1.1,230,1.3,0.54,0,2.1,Winter,No Holiday,Yes,152830
235,10/12/2017,14,4.2,85,0.7,325,1.8,0.65,0,1.4,Winter,No Holiday,Yes,717844
180,10/12/2017,15,6.7,63,4.5,715,0.1,0.35,0,1,Winter,No Holiday,Yes,753707
214,10/12/2017,16,5.4,71,3.5,622,0.5,0.2,0,0.5,Winter,No Holiday,Yes,980781
226,10/12/2017,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4,Winter,No Holiday,Yes,217957
210,10/12/2017,18,2,61,3,2000,-4.7,0,0,0,Winter,No Holiday,Yes,440932
181,10/12/2017,19,1.6,53,4,2000,-6.9,0,0,0,Winter,No Holiday,Yes,568958
165,10/12/2017,20,0.6,57,3.9,1954,-6.9,0,0,0,Winter,No Holiday,Yes,594734
167,10/12/2017,21,0,59,3,1862,-7,0,0,0,Winter,No Holiday,Yes,218236
152,10/12/2017,22,-1,56,4.7,2000,-8.6,0,0,0,Winter,No Holiday,Yes,535571
148,10/12/2017,23,-1.4,43,4.3,2000,-12.3,0,0,0,Winter,No Holiday,Yes,719600
125,11/12/2017,0,-2.5,39,3.4,2000,-14.5,0,0,0,Winter,No Holiday,Yes,869919
111,11/12/2017,1,-3.4,36,3.8,2000,-16.3,0,0,0,Winter,No Holiday,Yes,932123
67,11/12/2017,2,-4.2,35,3.4,2000,-17.4,0,0,0,Winter,No Holiday,Yes,467331
45,11/12/2017,3,-4.7,38,2.4,2000,-16.8,0,0,0,Winter,No Holiday,Yes,525622
44,11/12/2017,4,-5.2,35,3.2,2000,-18.3,0,0,0,Winter,No Holiday,Yes,255756
86,11/12/2017,5,-5.6,38,3.2,1974,-17.6,0,0,0,Winter,No Holiday,Yes,915467
136,11/12/2017,6,-5.9,39,2.9,1979,-17.6,0,0,0,Winter,No Holiday,Yes,673278
325,11/12/2017,7,-6,39,3.1,1996,-17.7,0,0,0,Winter,No Holiday,Yes,579933
653,11/12/2017,8,-6,38,3.6,1994,-18,0.01,0,0,Winter,No Holiday,Yes,691959
326,11/12/2017,9,-5.9,36,5.1,1941,-18.6,0.1,0,0,Winter,No Holiday,Yes,231738
212,11/12/2017,10,-5.3,32,4.5,2000,-19.4,0.62,0,0,Winter,No Holiday,Yes,630565
226,11/12/2017,11,-4.7,36,3.8,2000,-17.5,1,0,0,Winter,No Holiday,Yes,968934
247,11/12/2017,12,-5.2,33,4.6,1973,-19,1.26,0,0,Winter,No Holiday,Yes,467667
241,11/12/2017,13,-5.4,32,5.1,1986,-19.5,1.24,0,0,Winter,No Holiday,Yes,741141
253,11/12/2017,14,-5.4,31,4.1,1945,-19.9,1.13,0,0,Winter,No Holiday,Yes,231726
269,11/12/2017,15,-5.5,33,4.5,2000,-19.2,0.92,0,0,Winter,No Holiday,Yes,860410
277,11/12/2017,16,-6,40,4,2000,-17.4,0.55,0,0,Winter,No Holiday,Yes,798720
361,11/12/2017,17,-7.1,44,4.2,2000,-17.3,0.18,0,0,Winter,No Holiday,Yes,615778
557,11/12/2017,18,-7.9,43,3.3,2000,-18.3,0,0,0,Winter,No Holiday,Yes,524943
371,11/12/2017,19,-8.6,45,3.9,2000,-18.4,0,0,0,Winter,No Holiday,Yes,560662
254,11/12/2017,20,-9.3,49,3.8,2000,-18,0,0,0,Winter,No Holiday,Yes,730066
266,11/12/2017,21,-9.7,51,2.5,2000,-17.9,0,0,0,Winter,No Holiday,Yes,543214
222,11/12/2017,22,-10.2,50,3,2000,-18.6,0,0,0,Winter,No Holiday,Yes,702078
174,11/12/2017,23,-10.7,53,1.2,2000,-18.4,0,0,0,Winter,No Holiday,Yes,509443
168,13/12/2017,0,-9.5,48,1.3,1996,-18.4,0,0,0,Winter,No Holiday,Yes,531739
183,13/12/2017,1,-10.2,52,1.6,1997,-18.2,0,0,0,Winter,No Holiday,Yes,395947
120,13/12/2017,2,-10.4,53,1.8,1949,-18.1,0,0,0,Winter,No Holiday,Yes,616226
79,13/12/2017,3,-10.9,55,1.8,1913,-18.1,0,0,0,Winter,No Holiday,Yes,737376
41,13/12/2017,4,-11.4,58,1.3,1907,-18,0,0,0,Winter,No Holiday,Yes,262850
68,13/12/2017,5,-11.5,58,1.1,1923,-18.1,0,0,0,Winter,No Holiday,Yes,195395
109,13/12/2017,6,-11.9,57,1.1,1974,-18.7,0,0,0,Winter,No Holiday,Yes,637691
310,13/12/2017,7,-11.7,53,1.6,1998,-19.3,0,0,0,Winter,No Holiday,Yes,815691
591,13/12/2017,8,-11.4,47,3.3,2000,-20.4,0,0,0,Winter,No Holiday,Yes,976023
340,13/12/2017,9,-11.1,46,3.4,1981,-20.4,0.1,0,0,Winter,No Holiday,Yes,398997
202,13/12/2017,10,-9.5,39,2.1,1875,-20.9,0.6,0,0,Winter,No Holiday,Yes,268931
251,13/12/2017,11,-8.1,35,1.8,1806,-20.9,0.96,0,0,Winter,No Holiday,Yes,890890
267,13/12/2017,12,-6.5,30,2.9,1945,-21.2,1.17,0,0,Winter,No Holiday,Yes,203858
251,13/12/2017,13,-5.8,28,2.9,1887,-21.4,1.23,0,0,Winter,No Holiday,Yes,574967
240,13/12/2017,14,-4.7,27,2.9,1883,-20.8,1.12,0,0,Winter,No Holiday,Yes,475305
240,13/12/2017,15,-4.9,26,3.1,1887,-21.5,0.89,0,0,Winter,No Holiday,Yes,805497
278,13/12/2017,16,-4.5,26,2.2,2000,-21.1,0.56,0,0,Winter,No Holiday,Yes,600724
392,13/12/2017,17,-5.6,29,1.7,2000,-20.8,0.18,0,0,Winter,No Holiday,Yes,394927
537,13/12/2017,18,-6.6,33,1.1,2000,-20.2,0,0,0,Winter,No Holiday,Yes,358000
373,13/12/2017,19,-6.6,31,1.6,2000,-20.9,0,0,0,Winter,No Holiday,Yes,953734
263,13/12/2017,20,-7.6,35,0.8,2000,-20.4,0,0,0,Winter,No Holiday,Yes,719165
271,13/12/2017,21,-8.3,39,1,2000,-19.8,0,0,0,Winter,No Holiday,Yes,785668
271,13/12/2017,22,-8.9,39,0.1,2000,-20.3,0,0,0,Winter,No Holiday,Yes,552952
174,13/12/2017,23,-9.2,44,0.4,1978,-19.2,0,0,0,Winter,No Holiday,Yes,166722
